instance,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness
F1,13722.21510504848,13722.215,0.0,36393.38008243123,36393.38,0.0,12058.684366383826,12058.684,0.0,1820.3637072464692,1820.364,0.0
F2,26.431025408038103,26.431,0.0,97.8286047182628,97.829,0.0,44.09514029241705,44.095,0.0,42.04431494930894,42.044,0.0
F3,36974.855656709165,36974.856,0.0,55237.57246956776,55237.572,0.0,41317.43910900024,41317.439,0.0,102987.6537484192,102987.654,0.0
F4,83.71578448484642,83.716,0.0,83.6937160485758,83.694,0.0,44.838775595873045,44.839,0.0,59.07422609920401,59.074,0.0
F5,13359380.53904848,13359380.539,0.0,86649364.26751474,86649364.268,0.0,19952088.55041375,19952088.55,0.0,5179863.70520586,5179863.705,0.0
