instance, min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s)
scp51,9.601,9.601,0.0,10.813,10.813,0.0,9.872,9.872,0.0,47.811,47.811,0.0
scp61,5.36,5.36,0.0,5.835,5.835,0.0,5.527,5.527,0.0,23.765,23.765,0.0
