instance,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness
scp51,280.0,280.0,0.0,280.0,280.0,0.0,280.0,280.0,0.0,282.0,282.0,0.0
scp61,152.0,152.0,0.0,153.0,153.0,0.0,152.0,152.0,0.0,160.0,160.0,0.0
